"Title","MovieID"
"American Beauty (1999)",2858
"Star Wars: Episode IV - A New Hope (1977)",260
"Star Wars: Episode V - The Empire Strikes Back (1980)",1196
"Star Wars: Episode VI - Return of the Jedi (1983)",1210
"Jurassic Park (1993)",480
"Saving Private Ryan (1998)",2028
"Terminator 2: Judgment Day (1991)",589
"Matrix, The (1999)",2571
"Back to the Future (1985)",1270
"Silence of the Lambs, The (1991)",593
"Men in Black (1997)",1580
"Raiders of the Lost Ark (1981)",1198
"Fargo (1996)",608
"Sixth Sense, The (1999)",2762
"Braveheart (1995)",110
"Shakespeare in Love (1998)",2396
"Princess Bride, The (1987)",1197
"Schindler's List (1993)",527
"L.A. Confidential (1997)",1617
"Groundhog Day (1993)",1265
"E.T. the Extra-Terrestrial (1982)",1097
"Star Wars: Episode I - The Phantom Menace (1999)",2628
"Being John Malkovich (1999)",2997
"Shawshank Redemption, The (1994)",318
"Godfather, The (1972)",858
"Forrest Gump (1994)",356
"Ghostbusters (1984)",2716
"Pulp Fiction (1994)",296
"Terminator, The (1984)",1240
"Toy Story (1995)",1
"Alien (1979)",1214
"Total Recall (1990)",2916
"Fugitive, The (1993)",457
"Gladiator (2000)",3578
"Aliens (1986)",1200
"Blade Runner (1982)",541
"Who Framed Roger Rabbit? (1988)",2987
"Stand by Me (1986)",1259
"Usual Suspects, The (1995)",50
"Babe (1995)",34
"Airplane! (1980)",2791
"Independence Day (ID4) (1996)",780
"Galaxy Quest (1999)",3175
"One Flew Over the Cuckoo's Nest (1975)",1193
"Wizard of Oz, The (1939)",919
"2001: A Space Odyssey (1968)",924
"Abyss, The (1989)",1127
"Bug's Life, A (1998)",2355
"Jaws (1975)",1387
"Godfather: Part II, The (1974)",1221
"Casablanca (1942)",912
"Die Hard (1988)",1036
"GoodFellas (1990)",1213
"Hunt for Red October, The (1990)",1610
"Speed (1994)",377
"Indiana Jones and the Last Crusade (1989)",1291
"Lethal Weapon (1987)",2000
"Monty Python and the Holy Grail (1974)",1136
"Toy Story 2 (1999)",3114
"When Harry Met Sally... (1989)",1307
"Good Will Hunting (1997)",1704
"Titanic (1997)",1721
"Breakfast Club, The (1985)",1968
"Mission: Impossible (1996)",648
"Election (1999)",2599
"Twelve Monkeys (1995)",32
"X-Men (2000)",3793
"Beetlejuice (1988)",2174
"Big (1988)",2797
"Edward Scissorhands (1990)",2291
"Ferris Bueller's Day Off (1986)",2918
"Dances with Wolves (1990)",590
"Fight Club (1999)",2959
"Close Encounters of the Third Kind (1977)",3471
"Star Trek: The Wrath of Khan (1982)",1374
"Raising Arizona (1987)",1394
"Austin Powers: The Spy Who Shagged Me (1999)",2683
"Batman (1989)",592
"As Good As It Gets (1997)",1784
"Face/Off (1997)",1573
"Butch Cassidy and the Sundance Kid (1969)",1304
"Thelma & Louise (1991)",3418
"Clerks (1994)",223
"True Lies (1994)",380
"American Pie (1999)",2706
"Amadeus (1984)",1225
"Contact (1997)",1584
"Fifth Element, The (1997)",1527
"High Fidelity (2000)",3481
"There's Something About Mary (1998)",1923
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)",750
"Arachnophobia (1990)",2699
"Clueless (1995)",39
"Get Shorty (1995)",21
"Jerry Maguire (1996)",1393
"Christmas Story, A (1983)",2804
"Aladdin (1992)",588
"Romancing the Stone (1984)",2406
"Blues Brothers, The (1980)",1220
"Rock, The (1996)",733
"Annie Hall (1977)",1230
"Talented Mr. Ripley, The (1999)",3176
"Rain Man (1988)",1961
"Chicken Run (2000)",3751
"Fish Called Wanda, A (1988)",1079
"North by Northwest (1959)",908
"Erin Brockovich (2000)",3408
"Willy Wonka and the Chocolate Factory (1971)",1073
"Mission: Impossible 2 (2000)",3623
"Star Trek: First Contact (1996)",1356
"Predator (1987)",3527
"South Park: Bigger, Longer and Uncut (1999)",2700
"Psycho (1960)",1219
"Graduate, The (1967)",1247
"Reservoir Dogs (1992)",1089
"Lost World: Jurassic Park, The (1997)",1544
"Full Metal Jacket (1987)",1222
"Apollo 13 (1995)",150
"Taxi Driver (1976)",111
"Patriot, The (2000)",3753
